Col_ID,Row_ID,Hex_ID,Centroid_X,Centroid_Y,area,id,objectid,highstreet,highstre_1,area_ha,gdb_geomat
1140.000000000000000,1146.000000000000000,11401146.000000000000000,527210.693199999979697,164250.797499999986030,106088.115000000005239,3.000000000000000,3.000000000000000,3.000000000000000,"Carshalton Road, Carshalton.",4.462210457322431,
1141.000000000000000,1145.000000000000000,11411145.000000000000000,527513.802099999971688,164075.797499999986030,106088.115000000005239,3.000000000000000,3.000000000000000,3.000000000000000,"Carshalton Road, Carshalton.",4.462210457322431,
1141.000000000000000,1147.000000000000000,11411147.000000000000000,527513.802099999971688,164425.797499999986030,106088.115000000005239,3.000000000000000,3.000000000000000,3.000000000000000,"Carshalton Road, Carshalton.",4.462210457322431,
1153.000000000000000,1159.000000000000000,11531159.000000000000000,531151.108800000045449,166525.797499999986030,106088.115000000005239,4.000000000000000,4.000000000000000,4.000000000000000,"Mitcham Road, Croydon.",6.936039329933940,
1154.000000000000000,1158.000000000000000,11541158.000000000000000,531454.217700000037439,166350.797499999986030,106088.115000000005239,4.000000000000000,4.000000000000000,4.000000000000000,"Mitcham Road, Croydon.",6.936039329933940,
1154.000000000000000,1160.000000000000000,11541160.000000000000000,531454.217700000037439,166700.797499999986030,106088.115000000005239,4.000000000000000,4.000000000000000,4.000000000000000,"Mitcham Road, Croydon.",6.936039329933940,
1111.000000000000000,1145.000000000000000,11111145.000000000000000,518420.535299999988638,164075.797499999986030,106088.115000000005239,5.000000000000000,5.000000000000000,5.000000000000000,"Bridge Road, Chessington.",4.907168598669540,
1112.000000000000000,1146.000000000000000,11121146.000000000000000,518723.644199999980628,164250.797499999986030,106088.115000000005239,5.000000000000000,5.000000000000000,5.000000000000000,"Bridge Road, Chessington.",4.907168598669540,
1156.000000000000000,1138.000000000000000,11561138.000000000000000,532060.435449999989942,162850.797499999986030,106088.080000000001746,6.000000000000000,6.000000000000000,6.000000000000000,"Brighton Road, Purley Oaks.",11.941217771603700,
1157.000000000000000,1137.000000000000000,11571137.000000000000000,532363.544299999950454,162675.797499999986030,106088.115000000005239,6.000000000000000,6.000000000000000,6.000000000000000,"Brighton Road, Purley Oaks.",11.941217771603700,
1157.000000000000000,1139.000000000000000,11571139.000000000000000,532363.544299999950454,163025.797499999986030,106088.115000000005239,6.000000000000000,6.000000000000000,6.000000000000000,"Brighton Road, Purley Oaks.",11.941217771603700,
